metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/15/18 0:05,10005,,,2,17.84258706,23.56224693,1
7/15/18 0:10,10005,,,2,17.84418324,23.5606724,1
7/15/18 0:15,10005,,,2,17.84546796,23.57083068,1
7/15/18 0:20,10005,,,2,17.84700964,23.57794148,1
7/15/18 0:25,10005,,,2,17.8483333,23.5731163,1
7/15/18 0:30,10005,,,2,17.85010856,23.57682407,1
7/15/18 0:35,10005,,,2,17.85122977,23.58129372,1
7/15/18 0:40,10005,,,2,17.85233542,23.57601141,1
7/15/18 0:45,10005,,,2,17.85343328,23.58520466,1
7/15/18 0:50,10005,,,2,17.85472579,23.59170596,1
7/15/18 0:55,10005,,,2,17.85583143,23.59343287,1
7/15/18 1:00,10005,,,2,17.85806608,23.60140713,1
7/15/18 1:05,10005,,,2,17.8591873,23.59983259,1
7/15/18 1:10,10005,,,2,17.86062775,23.60430224,1
7/15/18 1:15,10005,,,2,17.86227843,23.60902584,1
7/15/18 1:20,10005,,,2,17.86342301,23.60790843,1
7/15/18 1:25,10005,,,2,17.86550972,23.61628902,1
7/15/18 1:30,10005,,,2,17.86683338,23.61689851,1
7/15/18 1:35,10005,,,2,17.86797795,23.61471448,1
7/15/18 1:40,10005,,,2,17.86906024,23.62131737,1
7/15/18 1:45,10005,,,2,17.87015031,23.62573622,1
7/15/18 1:50,10005,,,2,17.87121702,23.62995191,1
7/15/18 1:55,10005,,,2,17.87275091,23.6412784,1
7/15/18 2:00,10005,,,2,17.87471304,23.64071969,1
7/15/18 2:05,10005,,,2,17.87644937,23.64361481,1
7/15/18 2:10,10005,,,2,17.88004661,23.64386876,1
7/15/18 2:15,10005,,,2,17.88114446,23.64813524,1
7/15/18 2:20,10005,,,2,17.88681284,23.64427509,1
7/15/18 2:25,10005,,,2,17.88785619,23.64818603,1
7/15/18 2:30,10005,,,2,17.88925771,23.64970978,1
7/15/18 2:35,10005,,,2,17.89030885,23.6543318,1
7/15/18 2:40,10005,,,2,17.89137557,23.66012202,1
7/15/18 2:45,12267,,,2,17.89245785,23.66515037,1
7/15/18 2:50,12267,,,2,17.89480151,23.66347426,1
7/15/18 2:55,12267,,,2,17.89586044,23.66809628,1
7/15/18 3:00,12267,,,21,17.89747219,23.68348608,1
7/15/18 3:05,,,,46,17.89948103,20.30712563,1
7/15/18 3:10,2000,,,3,17.90285247,20.4460402,0
7/15/18 3:15,494,,,2,17.90535185,20.46457907,0
7/15/18 3:20,394,,,2,17.90697917,20.1632843,0
7/15/18 3:25,284,,,1,17.90847413,19.84268878,0
7/15/18 3:30,5924,,,1,17.91211808,19.84802188,0
7/15/18 3:35,5874,,,1,17.9136909,19.54169875,0
7/15/18 3:40,3710,,,1,17.91432158,19.25305104,0
7/15/18 3:45,6695,,,1,17.91486662,18.9604416,0
7/15/18 3:50,6587,,,0,17.91517028,18.96633341,0
7/15/18 3:55,6480,,,0,17.91552845,18.96999039,0
7/15/18 4:00,6371,,,1,17.91851058,18.97379975,0
7/15/18 4:05,6297,,,1,17.92047271,18.4672568,0
7/15/18 4:10,6207,,,1,17.92075301,18.46578384,0
7/15/18 4:15,6100,,,2,17.92408552,18.50199813,0
7/15/18 4:20,6046,,,1,17.92592307,18.06163642,0
7/15/18 4:25,5931,,,2,17.92684184,17.93608,0
7/15/18 4:30,5804,,,2,17.92961374,17.74586609,0
7/15/18 4:35,5705,,,1,17.93047022,17.56987377,0
7/15/18 4:40,5604,,,0,17.93075053,17.56992456,0
7/15/18 4:45,5502,,,1,17.93151358,17.56926428,0
7/15/18 4:50,5399,,,0,17.93199632,17.43121316,0
7/15/18 4:55,5295,,,2,17.93335891,17.43131475,0
7/15/18 5:00,5209,,,1,17.9363644,16.8589461,0
7/15/18 5:05,5112,,,1,17.93886378,16.59864001,0
7/15/18 5:10,5011,,,1,17.9396969,16.46937581,0
7/15/18 5:15,4923,,,3,17.94357445,16.34188932,0
7/15/18 5:20,4837,,,1,17.94805153,15.9744641,0
7/15/18 5:25,4743,,,1,17.94842527,15.6774358,0
7/15/18 5:30,4641,,,1,17.95087014,15.57829093,0
7/15/18 5:35,4543,,,1,17.95230281,15.46538158,0
7/15/18 5:40,4440,,,1,17.95495013,15.39914955,0
7/15/18 5:45,4336,,,2,17.95878095,15.21670672,0
7/15/18 5:50,4237,,,1,17.96427803,14.96208928,0
7/15/18 5:55,4137,,,1,17.96906656,14.53833636,0
7/15/18 6:00,4030,,,1,17.97443906,14.29022021,0
7/15/18 6:05,3943,,,1,17.9789395,13.87301939,0
7/15/18 6:10,3875,,,1,17.98354894,13.64196916,0
7/15/18 6:15,3788,,,1,17.98914724,13.45327899,0
7/15/18 6:20,3693,,,0,17.99091472,13.33437625,0
7/15/18 6:25,3596,,,1,17.99390463,13.30319031,0
7/15/18 6:30,3503,,,2,18.00005575,13.3157358,0
7/15/18 6:35,3414,,,1,18.00198673,13.35921326,0
7/15/18 6:40,3322,,,1,18.00402673,13.38755488,0
7/15/18 6:45,3226,,,1,18.0064171,13.41833449,0
7/15/18 6:50,3134,,,1,18.00949266,13.45475194,0
7/15/18 6:55,3038,,,1,18.01185967,13.48080795,0
7/15/18 7:00,2955,,,1,18.01548027,13.50681316,0
7/15/18 7:05,2858,,,0,18.01686622,13.52037448,0
7/15/18 7:10,2770,,,1,18.0181743,13.5457194,0
7/15/18 7:15,2678,,,1,18.02010529,13.57680376,0
7/15/18 7:20,2587,,,1,18.02091506,13.58294952,0
7/15/18 7:25,2493,,,1,18.01882835,13.59381889,0
7/15/18 7:30,2396,,,1,18.02109414,13.62388741,0
7/15/18 7:35,2299,,,1,18.02191948,13.62251605,0
7/15/18 7:40,2207,,,1,18.02345337,13.64760701,0
7/15/18 7:45,2110,,,1,18.02425535,13.65177191,0
7/15/18 7:50,2014,,,1,18.02565687,13.66553639,0
7/15/18 7:55,1918,,,1,18.0269961,13.67391697,0
7/15/18 8:00,1818,,,1,18.02990036,13.69905873,0
7/15/18 8:05,1735,,,1,18.03199486,13.71871502,0
7/15/18 8:10,1630,,,1,18.0332173,13.72374337,0
7/15/18 8:15,1537,,,1,18.03466554,13.73730468,0
7/15/18 8:20,1428,,,1,18.03697805,13.74639635,0
7/15/18 8:25,1330,,,1,18.03848857,13.76442731,0
7/15/18 8:30,1228,,,1,18.04027941,13.77296027,0
7/15/18 8:35,1131,,,1,18.04310581,13.78276301,0
7/15/18 8:40,1030,,,1,18.04365863,13.78738503,0
7/15/18 8:45,926,,,0,18.04482656,13.80678736,0
7/15/18 8:50,825,,,1,18.04623587,13.81339025,0
7/15/18 8:55,722,,,0,18.04769968,13.82050105,0
7/15/18 9:00,622,,,1,18.05075188,13.83360524,0
7/15/18 9:05,544,,,0,18.0514215,13.83609402,0
7/15/18 9:10,447,,,1,18.05328241,13.85712167,0
7/15/18 9:15,341,,,0,18.0540766,13.86900686,0
7/15/18 9:20,233,,,1,18.05544698,13.87428917,0
7/15/18 9:25,124,,,1,18.05680178,13.875305,0
7/15/18 9:30,17,,,1,18.05814102,13.90217367,0
7/15/18 9:35,2,,,1,18.05997078,13.90740519,0
7/15/18 9:40,2,,,1,18.06081169,13.91197642,0
7/15/18 9:45,2,,,1,18.06162925,13.92249024,0
7/15/18 9:50,2,,,1,18.0623923,13.9274678,0
7/15/18 9:55,2,,,0,18.06260253,13.929855,0
7/15/18 10:00,2,,,1,18.06449458,13.947632,0
7/15/18 10:05,2,,,0,18.06541335,13.95545388,0
7/15/18 10:10,2,,,1,18.06565473,13.95580942,0
7/15/18 10:15,2,,,1,18.06661243,13.95738396,0
7/15/18 10:20,2,,,0,18.06683823,13.96693275,0
7/15/18 10:25,2,,,0,18.06714968,13.96805016,0
7/15/18 10:30,2,,,1,18.06760907,13.96693275,0
7/15/18 10:35,2,,,1,18.06899502,13.97561808,0
7/15/18 10:40,2,,,1,18.06935319,13.9784624,0
