metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/1/18 0:00,,,,1,14.10496366,15.12482502,0
7/1/18 0:05,,,,1,14.10817158,15.15535067,0
7/1/18 0:10,,,,1,14.10911372,15.16434076,0
7/1/18 0:15,,,,0,14.10949524,15.16799774,0
7/1/18 0:20,,,,0,14.11006364,15.17140077,0
7/1/18 0:25,,,,0,14.11039066,15.17338163,0
7/1/18 0:30,,,,1,14.11147295,15.18272726,0
7/1/18 0:35,,,,0,14.11179997,15.18491129,0
7/1/18 0:40,,,,1,14.11218928,15.20411045,0
7/1/18 0:45,,,,0,14.11257859,15.20411045,0
7/1/18 0:50,,,,0,14.11313141,15.20893564,0
7/1/18 0:55,,,,0,14.11347401,15.21934788,0
7/1/18 1:00,,,,1,14.11497675,15.2334679,0
7/1/18 1:05,,,,0,14.11582545,15.24200086,0
7/1/18 1:10,,,,1,14.11683766,15.24032474,0
7/1/18 1:15,,,,1,14.11813017,15.26089527,0
7/1/18 1:20,,,,3,14.11883872,15.29644927,0
7/1/18 1:25,,,,1,14.11975749,15.29523028,0
7/1/18 1:30,,,,0,14.12031032,15.27775803,0
7/1/18 1:35,,,,0,14.12073077,15.27826594,0
7/1/18 1:40,,,,1,14.12107337,15.28877977,0
7/1/18 1:45,,,,0,14.12140039,15.29269071,0
7/1/18 1:50,,,,0,14.1217352,15.29340179,0
7/1/18 1:55,,,,0,14.12208558,15.30127446,0
7/1/18 2:00,,,,0,14.1233158,15.30792814,0
7/1/18 2:05,,,,1,14.12572953,15.32016887,0
7/1/18 2:10,,,,0,14.1265938,15.32372427,0
7/1/18 2:15,,,,1,14.1276138,15.34236473,0
7/1/18 2:20,,,,1,14.13205973,15.38127096,0
7/1/18 2:25,,,,0,14.13238676,15.38660406,0
7/1/18 2:30,,,,0,14.13339897,15.38767068,0
7/1/18 2:35,,,,0,14.1337182,15.38568982,0
7/1/18 2:40,,,,0,14.13402186,15.39432436,0
7/1/18 2:45,,,,0,14.13490949,15.39559415,0
7/1/18 2:50,,,,1,14.13634216,15.40560006,0
7/1/18 2:55,,,,0,14.13664582,15.40600639,0
7/1/18 3:00,,,,0,14.13772811,15.42215807,0
7/1/18 3:05,,,,1,14.13967467,15.43312902,0
7/1/18 3:10,,,,1,14.14385587,15.47320346,0
7/1/18 3:15,,,,0,14.14676792,15.48762822,0
7/1/18 3:20,,,,0,14.14771005,15.49829442,0
7/1/18 3:25,,,,1,14.14887799,15.49793888,0
7/1/18 3:30,,,,1,14.15286454,15.52775345,0
7/1/18 3:35,,,,0,14.1540169,15.52815979,0
7/1/18 3:40,,,,0,14.15497461,15.53064857,0
7/1/18 3:45,,,,0,14.15529384,15.53415317,0
7/1/18 3:50,,,,0,14.15565201,15.53313735,0
7/1/18 3:55,,,,0,14.15600239,15.54126398,0
7/1/18 4:00,,,,1,14.15875093,15.54984773,0
7/1/18 4:05,,,,1,14.16073642,15.56269796,0
7/1/18 4:10,,,,0,14.16140603,15.57580215,0
7/1/18 4:15,,,,1,14.16449716,15.57265308,0
7/1/18 4:20,,,,0,14.16483976,15.57661481,0
7/1/18 4:25,,,,1,14.16512006,15.59642347,0
7/1/18 4:30,,,,0,14.16675517,15.60546435,0
